series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
65,1,2315.0,B,Nimzo-Larsen,https://www.youtube.com/watch?v=kqgaZ8Tfhyk&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=65,0.0,,Back to 3000,Danya,,,,
65,2,,B,Chigorin,,20.0,,Back to 3000,Danya,,,,
66,1,2321.0,W,Alapin Sicilian,https://www.youtube.com/watch?v=7Tueff34xjA&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=66,0.0,,Back to 3000,Danya,,,,
66,2,,W,Ruy Lopez,,13.0,,Back to 3000,Danya,,,,
67,1,2338.0,B,Ruy Lopez,,0.0,,Back to 3000,Danya,,,,
68,1,2350.0,W,Alapin Sicilian,https://www.youtube.com/watch?v=fg3i2Yl_vqQ&,0.0,,Back to 3000,Danya,,,,
69,1,2350.0,W,French,https://www.youtube.com/watch?v=ndNfx0HHcLk&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=69,0.0,,Back to 3000,Danya,,,,
69,2,,W,Ruy Lopez,,15.0,,Back to 3000,Danya,,,,
70,1,,W,Scandinavian,https://www.youtube.com/watch?v=s3ea8V8twrY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=70,0.0,,Back to 3000,Danya,,,,
70,2,,W,Petrov,,14.5,,Back to 3000,Danya,,,,
71,1,2390.0,B,Accelerated Dragon,https://www.youtube.com/watch?v=S-PGKHRQM5o&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=71,0.0,,Back to 3000,Danya,,,,
71,2,,W,Open Sicilian / Taimonov,,11.45,,Back to 3000,Danya,,,,
1,1,1100.0,B,Accelerated Dragon,https://www.youtube.com/watch?v=R2skmBe07aQ&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=1,0.0,,Beginner to Master,Danya,,,,
1,2,,W,Caro Kann,,15.25,,Beginner to Master,Danya,,,,
2,1,1400.0,W,Ruy Lopez,https://www.youtube.com/watch?v=RUYbO35XVCE&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=2,0.0,,Beginner to Master,Danya,,,,
3,1,1420.0,B,Evans Gambit,https://www.youtube.com/watch?v=wn7jKtpg2dg&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=3,0.0,,Beginner to Master,Danya,,,,
3,2,,W,French Defense,,26.0,,Beginner to Master,Danya,,,,
4,1,1440.0,B,Sicilian,https://www.youtube.com/watch?v=Vy6j7N_Wh0o&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=5,0.0,,Beginner to Master,Danya,,,,
4,2,,B,King's Indian,,23.05,,Beginner to Master,Danya,,,,
